epoch,global_step,cos_grad_data_no_slip,cos_grad_data_momentum,cos_grad_data_continuity,cos_grad_data_inlet_bc,cos_grad_data_rcr_bc,grad_norm_data,grad_norm_physics,gradient_norm,gradient_clip_flag,no_slip_raw,inlet_bc_raw,data_total,pde_total,loss_ratio_raw,lambda_phy,lambda_target,lambda_clamped_high,ema_data,ema_physics
0,50,0.42400822043418884,-0.0053452858701348305,-0.024050744250416756,0.3226039707660675,-0.31022828817367554,0.33463603258132935,0.16270959377288818,0.52985680103302,False,0.055274493992328644,0.015673715621232986,0.08216889947652817,0.002610674360767007,31.474204792200602,1.0899999999999999,10.0,True,4.799768901332254,0.0010385536935976602
0,100,0.92308509349823,-0.001218379009515047,-0.03379999101161957,0.11050995439291,-0.5226378440856934,0.40344372391700745,0.007946142926812172,0.4611561894416809,False,0.023827344179153442,0.006142813712358475,0.16157782077789307,6.218432827154174e-05,2598.3688377613,1.9809999999999997,10.0,True,3.2773508228857664,0.0010412880831831887
1,150,-0.13143889605998993,-0.002934099407866597,-0.01695138029754162,-0.2971629798412323,-0.12641504406929016,0.9008992910385132,0.004198044538497925,0.8731033205986023,False,0.035167887806892395,0.005144479218870401,1.0751656293869019,5.047776085120859e-06,212997.88486183598,2.7828999999999997,10.0,True,2.4792788534108468,0.0007119825972110327
1,200,0.03914831206202507,0.009823729284107685,-0.02023959718644619,0.04324760660529137,-0.39548319578170776,0.6142104864120483,0.0032744405325502157,0.6008304953575134,False,0.018806613981723785,0.003034664550796151,0.30563631653785706,9.136281732935458e-06,33453.031054861865,3.5046099999999996,10.0,True,1.8039251781458057,0.0004385389563441048
1,250,0.36316150426864624,-0.0666273757815361,-0.016461225226521492,-0.28983649611473083,-0.10756560415029526,0.46774235367774963,0.010626477189362049,0.4937656819820404,False,0.03196520730853081,0.12104243040084839,0.07001544535160065,3.711377939907834e-05,1886.5080971338468,4.154148999999999,10.0,True,1.5278680929999269,0.00027970424310917556
2,300,0.1599704623222351,-0.0010726996697485447,-0.020098285749554634,0.16254249215126038,0.2183549553155899,0.2565498650074005,0.0022425276692956686,0.32682621479034424,False,0.03519944101572037,0.0024882734287530184,0.0903811901807785,3.52760753230541e-06,25621.101370568667,4.738734099999999,10.0,True,1.3050646884832267,0.00019833624714857246
2,350,-0.0328223817050457,0.014433824457228184,-0.006345230154693127,0.025837266817688942,0.3469249904155731,0.5431443452835083,0.007586939726024866,0.5878095626831055,False,0.019640125334262848,0.007857359014451504,0.5945226550102234,6.681041122647002e-05,8898.652831142519,5.26486069,10.0,True,1.0971011845841077,0.00015023255198048943
2,400,0.17336513102054596,-0.01746700145304203,-0.013950764201581478,0.1697804480791092,-0.3482239842414856,0.5750699639320374,0.008666285313665867,0.5909040570259094,False,0.024916451424360275,0.004287294112145901,0.1595846265554428,3.908107100869529e-05,4083.4251067463388,5.738374621,10.0,True,1.1245064732381893,0.00014526807124202264
3,450,0.31171220541000366,0.049661144614219666,-0.019086461514234543,0.24060595035552979,0.09104392677545547,0.4305126965045929,0.056768082082271576,0.6421698331832886,False,0.02933250367641449,0.0016905785305425525,0.0552268885076046,0.00020834835595451295,265.0699510182929,6.1645371589,10.0,True,1.0529903430526326,0.00024057234091509893
3,500,0.04941488429903984,-0.019137892872095108,-0.00204648170620203,-0.06099342927336693,0.39860278367996216,5.352385520935059,0.0032875642646104097,5.38253927230835,True,0.018285145983099937,0.0021473360247910023,5.256072044372559,3.8191569728951436e-06,1376238.8091600616,6.54808344301,10.0,True,1.0815217053285184,0.00021836160554065655
