epoch,global_step,cos_grad_data_no_slip,cos_grad_data_momentum,cos_grad_data_continuity,cos_grad_data_inlet_bc,cos_grad_data_rcr_bc,grad_norm_data,grad_norm_physics,gradient_norm,gradient_clip_flag,no_slip_raw,inlet_bc_raw,data_total,pde_total,loss_ratio_raw,lambda_phy,lambda_target,lambda_clamped_high,ema_data,ema_physics
3,550,0.9481222629547119,0.0,0.0,-0.8543067574501038,-0.628157377243042,0.29490673542022705,0.0,0.2544897496700287,False,0.060092002153396606,0.32187166810035706,0.15038423240184784,0.0,150384232401.84784,0.0,0.0,False,0.9721125909062148,0.0
4,600,-0.10495609790086746,0.0,0.0,0.03659023344516754,-0.264468252658844,0.31478238105773926,0.0,0.3038676679134369,False,0.01661570370197296,0.001112395548261702,0.0889807939529419,0.0,88980793952.9419,0.0,0.0,False,0.9658122059830311,0.0
4,650,-0.1300479769706726,0.0,0.0,-0.266461580991745,0.05359841138124466,0.5571413040161133,0.0,0.717319667339325,False,0.007079543080180883,0.026623260229825974,0.056780554354190826,0.0,56780554354.19083,0.0,0.0,False,0.841457873511245,0.0
5,700,-0.11142215877771378,0.0,0.0,-0.07812566310167313,-0.34382614493370056,0.40000119805336,0.0,0.4172273576259613,False,0.022978980094194412,0.005745256319642067,0.10811144858598709,0.0,108111448585.98709,0.0,0.0,False,1.1316261219491774,0.0
5,750,0.7580006718635559,0.0,0.0,-0.591238260269165,-0.4744962453842163,0.1812148541212082,0.0,0.25432559847831726,False,0.05300529673695564,0.04033501818776131,0.07896646857261658,0.0,78966468572.61658,0.0,0.0,False,1.094304838763386,0.0
5,800,-0.9016352295875549,0.0,0.0,-0.18323907256126404,0.5589646697044373,3.4546337127685547,0.0,3.437253952026367,True,0.013561073690652847,0.0037707481533288956,5.109181880950928,0.0,5109181880950.928,0.0,0.0,False,1.0347473073015891,0.0
6,850,0.8097977638244629,0.0,0.0,0.04506435990333557,-0.3346971273422241,0.20996198058128357,0.0,0.3853241801261902,False,0.04436510056257248,0.0014725109795108438,0.35049957036972046,0.0,350499570369.72046,0.0,0.0,False,0.9214071818388702,0.0
6,900,0.8128372430801392,0.0,0.0,-0.7523304224014282,-0.46442824602127075,0.5827943682670593,0.0,0.5216912031173706,False,0.0013506088871508837,0.00587351294234395,0.3448125422000885,0.0,344812542200.0885,0.0,0.0,False,0.9573708362772138,0.0
6,950,-0.3556865453720093,0.0,0.0,-0.3702015280723572,0.5585777163505554,0.15932023525238037,0.0,0.3284209966659546,False,0.020274627953767776,0.016205357387661934,0.038955364376306534,0.0,38955364376.30653,0.0,0.0,False,0.9344625993661629,0.0
7,1000,0.39770451188087463,0.0,0.0,-0.40589639544487,0.05467876046895981,0.17521317303180695,0.0,0.19295401871204376,False,0.005784421693533659,0.0045135850086808205,0.08875346928834915,0.0,88753469288.34915,0.0,0.0,False,0.8112739397091802,0.0
7,1050,0.5060596466064453,0.0,0.0,-0.31222736835479736,-0.2173403948545456,0.7100627422332764,0.0,0.7363342642784119,False,0.016067229211330414,0.004051765892654657,0.40180498361587524,0.0,401804983615.87524,0.0,0.0,False,0.7908891148258699,0.0
7,1100,0.2526092529296875,0.0,0.0,0.19585703313350677,0.031205561012029648,0.31435537338256836,0.0,0.5520541667938232,False,0.042448848485946655,0.010701693594455719,0.05444611608982086,0.0,54446116089.82086,0.0,0.0,False,0.8117406713983156,0.0
8,1150,-0.3473578095436096,0.0,0.0,-0.43844273686408997,-0.36121365427970886,0.11324676126241684,0.0,0.2336655855178833,False,0.004665915854275227,0.03019794262945652,0.10770692676305771,0.0,107706926763.05771,0.0,0.0,False,0.9209357754876106,0.0
8,1200,0.09573096036911011,0.0,0.0,-0.07892409712076187,0.4096257984638214,8.409948348999023,0.0,8.473402976989746,True,0.12959621846675873,0.3784618675708771,8.641674041748047,0.0,8641674041748.047,0.0,0.0,False,0.9423982544385356,0.0
9,1250,0.15214058756828308,0.0,0.0,-0.01347572822123766,0.23387554287910461,1.8421438932418823,0.0,1.896728515625,True,0.015093084424734116,0.003416320774704218,0.7026246786117554,0.0,702624678611.7554,0.0,0.0,False,1.0139724150430967,0.0
9,1300,0.30001968145370483,0.0,0.0,-0.35808494687080383,0.24795298278331757,0.534020185470581,0.0,0.5370208024978638,False,0.0033068531192839146,0.00888812355697155,0.2036072015762329,0.0,203607201576.2329,0.0,0.0,False,0.9547906550736923,0.0
9,1350,0.6958145499229431,0.0,0.0,-0.33307793736457825,-0.37629708647727966,0.6551327109336853,0.0,0.6626454591751099,False,0.007318796589970589,0.01074445154517889,0.18097341060638428,0.0,180973410606.38428,0.0,0.0,False,1.0668868049064526,0.0
10,1400,0.7361531257629395,0.0,0.0,-0.5894337296485901,-0.6709966063499451,0.5181159973144531,0.0,0.4928925037384033,False,0.14394055306911469,0.35595545172691345,0.20477068424224854,0.0,204770684242.24854,0.0,0.0,False,0.8132837160479859,0.0
10,1450,0.83391934633255,0.0,0.0,-0.6379308104515076,-0.36437588930130005,0.3790982663631439,0.0,0.5426762104034424,False,0.08830802142620087,0.23916640877723694,0.17910398542881012,0.0,179103985428.81012,0.0,0.0,False,0.8324875721421581,0.0
10,1500,-0.5907185077667236,0.0,0.0,0.34999963641166687,0.013147769495844841,0.23608087003231049,0.0,0.21113261580467224,False,0.008983045816421509,0.004521457012742758,0.15477335453033447,0.0,154773354530.33447,0.0,0.0,False,0.8897911952199695,0.0
11,1550,0.3738345503807068,0.0,0.0,-0.3856191039085388,-0.3931465446949005,0.6773383617401123,0.0,0.618686318397522,False,0.13302487134933472,0.2081020176410675,0.5070675015449524,0.0,507067501544.9524,0.0,0.0,False,0.9271630705955924,0.0
11,1600,0.09842084348201752,0.0,0.0,0.011292129755020142,-0.27625772356987,0.9157165288925171,0.0,0.898670494556427,False,0.009831377305090427,0.005353331565856934,0.10664443671703339,0.0,106644436717.03339,0.0,0.0,False,1.1520282533878319,0.0
11,1650,-0.21000345051288605,0.0,0.0,0.04253961145877838,0.04375642165541649,0.9651622176170349,0.0,0.9622355103492737,False,0.03862448409199715,0.012795930728316307,0.1179257333278656,0.0,117925733327.8656,0.0,0.0,False,0.9806696612418191,0.0
12,1700,0.511530876159668,0.0,0.0,-0.40329718589782715,-0.17557771503925323,0.4096125364303589,0.0,0.5442177653312683,False,0.2654075026512146,0.24875405430793762,0.07815076410770416,0.0,78150764107.70416,0.0,0.0,False,0.9342129298936436,0.0
12,1750,-0.12680795788764954,0.0,0.0,0.010551979765295982,-0.05894384905695915,0.7798393368721008,0.0,0.7738264203071594,False,0.022446177899837494,0.011550771072506905,0.6300687193870544,0.0,630068719387.0544,0.0,0.0,False,0.8403483694506293,0.0
13,1800,-0.05890810489654541,0.0,0.0,0.2583826780319214,0.03410857915878296,0.3467007279396057,0.0,0.5187991857528687,False,0.10224796831607819,0.06996104121208191,0.8993168473243713,0.0,899316847324.3713,0.0,0.0,False,0.815347793275698,0.0
13,1850,-0.12388119101524353,0.0,0.0,-0.12478922307491302,0.4066888093948364,0.5593320727348328,0.0,0.6164072751998901,False,0.0075905947014689445,0.01612895354628563,0.10049673169851303,0.0,100496731698.51303,0.0,0.0,False,0.8431648064735711,0.0
13,1900,0.00780555559322238,0.0,0.0,-0.06491255015134811,-0.07287862151861191,0.5534662008285522,0.0,0.5674533247947693,False,0.013922961428761482,0.00702597526833415,0.056662365794181824,0.0,56662365794.18182,0.0,0.0,False,0.9927168861550545,0.0
14,1950,-0.7392623424530029,0.0,0.0,0.5879092812538147,0.3728369474411011,0.3040729761123657,0.0,0.4210413694381714,False,0.16618728637695312,0.16627028584480286,0.029178360477089882,0.0,29178360477.08988,0.0,0.0,False,0.9759467490432954,0.0
14,2000,-0.04933026805520058,0.0,0.0,0.04523279517889023,-0.09341920167207718,1.388284683227539,0.0,2.3618907928466797,True,0.19024403393268585,0.008912271820008755,1.3037294149398804,0.0,1303729414939.8804,0.0,0.0,False,0.8759877936600928,0.0
14,2050,-0.014356291852891445,0.0,0.0,0.12348677963018417,0.4393237829208374,0.5086137652397156,0.0,0.711645781993866,False,0.0384056456387043,0.0038228188641369343,1.5847123861312866,0.0,1584712386131.2866,0.0,0.0,False,1.0564596336098369,0.0
15,2100,0.5679032206535339,0.0,0.0,-0.5373592972755432,-0.04821817949414253,1.7124279737472534,0.0,1.6961896419525146,True,0.013799084350466728,0.009954049251973629,0.9227144718170166,0.0,922714471817.0166,0.0,0.0,False,1.0674219798598654,0.0
